Arabic,English,Arabic Pl,English Pl,Example
الفنون الزخرفية,the decorative arts,,,
أداة التعريف,the definite article,,,
الجهاز الهضمي,the digestive system,,,
الضيف الكريم,the distinguished guest,الضيوف الكرام,the distinguished guests,
حثالة المجتمع,the dregs of society,,,من يعتدون علينا هم حثالة المجتمع عاطلون ومجرمون
نقاط الأرض,the Earth's atmosphere,,,
الحياة الرغيدة,the easy life,,,
دائرة البروج,the ecliptic,,,
كبار السن,the elderly,,,
المجمع الانتخابي,the electoral college,,,
خط الإستواء,the equator,,,
منطقة اليورة,the euro zone,,,
السلطة التنفيذية,the executive branch,,,
ممارسة السلطة,the exertion of power,,,
انحيار روما,the Fall of Rome,,,
سقوط النظام,the fall of the regime,,,
جسد المرأة,the female body,,,
الصِغة المؤنثة,the feminine form,,,
المثوى الأخير,the final resting place,,,
القطاع المالي,the financial sector,,,
خاصرة الحصان,the flank of a horse,خواصر أحصنة,horses' flanks,
السيولة المرورية,the flow of traffic,,,وذلك ساهم في تحقيق * في المنطقة
جريان الماء,the flow of water,,,
بؤرة النقاش,the focus of the debate,,,
السلسلة الغذائية,the food chain,,,
سَفح جبل,the foot of a mountain,,,من ذروة حصاروست إلى سفح جبل سنام
العمالة الوافدة,the foreign labor force,,,
أربع أكثر,the fourth-largest,,,شركة إنشاء
قطاع غزة,the Gaza Strip,,,
الجمعية العامة,The General Assembly,,,للأمم المتحدة
الجمهور العام,the general public,,,
هضبة الجولان,the Golan Heights,,,
التقويم الميلادي,the Gregorian calendar,,,
قبضة الاستعمار,the grip of colonialism,,,
شعائر الحج,the hajj ceremony,,,
الكنيسة المعلقة,The Hanging Church,,,
أرجئت الجلسة,the hearing was adjourned,,,
المفوَّض السامي,the high commissioner,,,
المندوب السامي,the high commissioner,,,
ثقب الأوزون,the hole in the ozone,,,
الأراضي المقدسة,the holy land,,,
الروح القُدس,the Holy Spirit,,,
الجبهة الداخلية,the home front,,,
صاحب الأرض,the home team,,,بعض تغلب الألمان على * البرازيل
سعادة السفير,the honorable ambassador,,,
أزفت الساعة,the hour came quickly,,,ساعة الرحيل قد (أزفت) فوداعًا
مجلس العموم,the House of Commons,,,
مجلس اللوردات,the House of Lords,,,
جِسم الإنسان,the human body,,,
الجنس البشري,the human species,,,
الروح الإنسانية,the human spirit,,,
الغلاف المائي,the hydrosphere,,,
الحل الأنجع,the ideal solution,,,
جهاز المناعة,the immune system,,,
التقارب مع,the improving ties between,,,التقارب الامريكي مع إيران
مكنون قلبك,the inner workings of your heart,,,حدثني عن *.
الحكومة المؤقتة,the interim government,,,
الستار الحديدي,the iron curtain,,,
هيئة المحلّفين,the jury,,,
مفتاح نجاحنا,the key to our secess,,,
مَلَكوت السموات,the Kingdom of Heaven,,,
الكنيسيت الاسرائيلي,The Knesset,,,
الذكر الحكيم,the koran,,,
الأمعاء الغليظة,the large intestine,,,
خاتم الأنبياء,the last of the prophets,,,
الملاذ الأخير,the last resort,,,
العشاء السري,the Last Supper,,,
آخر التطورات,the latest developments,,,
آخر المستجدات,the latest developments,,,
التطوّرات الجارية,the latest updates,,,
دور البطولة,the lead role,,,
عَصَبة الأمم,The League of Nations,,,
السن القانونية,the legal age,,,حتى بلوغه * لانتهاء الخدمة
أخف الشرين,the lesser of two evils,,,
بلاد الشام,the Levant,,,
الجهاز اللمفاوي,the limphatic system,,,
عرين الأسد,the lion's den,عُرُن أسود,lions' dens,
الغلاف اليابس,the lithosphere,,,
الحورية الصغيرة,The Little Mermaid,,,
حورية البحر,the Little Mermaid,,,
الصلاة الربانية,the Lord's Prayer,,,
الطبقة الدنيا,the lower class,,,
الشفة السفلى,the lower lip,,,
سبب رئيسي,the main reason,,,
الحدّ الأقصى,the maximum,,,
انفض الاجتماع,the meeting is adjourned,,,
انعقد الاجتماع,the meeting was held,,,
الدول العضاء,the member states,,,في الأمم المتحدة
الطبقة الوسطى,the middle class,,,
درب التبّانة,the Milky Way,,,
وزارة الخارجية,the Ministry of Foreign Affairs,,,
التقويم الهجري,the Muslim calendar,,,
النشيد الوطني,the national anthem,,,
برلمان اليابان,The National Diet,,,
عالم الطبيعة,the natural world,,,
الحاجة ازدادت,the need has increased,,,
الدول المجاورة,the neighboring countries,,,
دول الجوار,the neighboring countries,,,
الجهاز العصبي,the nervous system,,,
المتغير الجديد,the new factor,,,
العهد الجديد,the new testament,,,
العدد المقبل,the next edition,,,من مجالة
الجيل الصاعد,the next generation,,,
العهد القديم,the Old Testament,,,
الألعاب الأولمبية,the olympics,,,
صاحب القرار,the one calling the shots,,,
النزاع الدائر,the ongoing conflict,,,
السبيل الوحيد,the only way,,,
توجهات المؤسسة,the organization's orientation,,,وهو ما سيؤثر لاحقًا على * المدنية
المخطوط الأصلي,the original manuscript,,,
نُشوب الحرب,the outbreak of war,,,
الغرفة البيضاوية,The Oval Office,,,
القوة الساحقة,the overwhelming force,,,الشعب هو *
الأغلبية الساحقة,the overwhelming majority,,,
النسبة الساحقة,the overwhelming majority,,,
المحيط الهادئ,the Pacific Ocean,,,
الآله الوثنية,the pagan gods,,,
السلام المنشود,the peace we desire,,,
مجلس الشعب,The People’s Assembly,,,
دخائل الأمور,the personal side,,,
الكرة الأرضية,the planet,,,
المنبثق عن,the political wing of,,,جماعة الاخوان المسلمين
التغذية الكهربائية,the power supply,,,يتم قطع التغذية الكهربائية عن الحاسوب
الوقت الحاضر,the present,,,
المرشح للرئاسة,the presidential candidate,,,
الرأي السائد,the prevailing opinion,,,
سابق الذكر,the previously mentioned,,,
القطاع الخاص,the private sector,,,
تفاقمت المشكلة,the problem confounded,,,
ريع الحفلة,the proceeds of the event,,,
اليوم الموعود,the promised day,,,
أحكام الشريعة,the provisions of Islamic law,,,
المجال العام,the public domain,,,
القطاع العام,the public sector,,,
الهجوم المزعوم,the purported attack,,,
التصفيات المؤهّلة,the qualifiers,,,
السؤال يبقى,the question remains,,,
وتيرة الأحداث,the rate of events,,,
إقرار الدستور,the ratification of the constitution,,,
الهلال الأحمر,the Red Crescent,,,
الصليب الأحمر,the Red Cross,,,
عصر النهضة,the Rennaisance,,,
نبذ العنف,the renunciation of violence,,,
الجهاز التكاثري,the reproductive system,,,
الجهاز التناسلي,the reproductive system,,,
الحرس الجمهوري,the Republican Guard,,,
الجهاز التنفسي,the respiratory system,,,
مآلات الفساد,the results of corruption,,,هى الإخفاق
حق الأسبقية,the right of way,,,
المكان الملائم,the right place,,,
الأمر الصواب,the right thing to do,,,
حق الخصوصية,the right to privacy,,,
حق التصويت,the right to vote,,,
حجر رشيد,The Rosetta Stone,,,
دولة القانون,the rule of law,,,
الحاكم والمحكوم,the ruler and the subject,,,
الزُمرة الحاكمة,the ruling clan,,,
الطغمة الحاكمة,the ruling clan,,,
الواقع الكئيب,the sad truth,,,
المكان نفسه,the same place,,,ركلني في المكان نفسه
قاع البحار,the seabed,,,
نشوة الانتصار,the sense of accomplishment,,,
الصرف الصحي,the sewer system,,,
تأزمت الأوضاع,the situation became critical,,,
تفاقم الوضع,the situation deteriorated,,,
الشأن الميداني,the situation on the ground,,,
دورة النوم,the sleep cycle,,,
البعد الاجتماعي,the social dimension,,,
المجموعة الشمسية,the solar system,,,
انقلاب الشمس,the solstice,,,
تجاوبت الأصوات,the sounds echoed,,,
تفشي مرض,the spread of a disease,,,
انتشار توتّر,the spread of tension,,,
مجلس الدوما,The State Duma,,,
الوضع الراهن,the status quo,,,
الوضع القائم,the status quo,,,
الوضع القائم,the status quo,,,
الهرم المدرج,the step pyramid,,,
العصر الحَجَري,the stone age,,,
الرياح هدأت,the storm abated,,,
العقل الباطن,the subconscious,,,
قناة السويس,the Suez Canal,,,
العدوان الثلاثي,the Suez Crisis,,,
الانقلاب الصيفي,the summer solstice,,,
مسار الشمس,the sun's orbit,,,في السماء
أهل السنة,the Sunnis,,,
المحكمة العليا,the Supreme Court,,,
نوبات الاكتئاب,the symptoms of depressions,,,تعاني من *
الوَصايا العشر,the Ten Commandments,,,
منتهى مرادي,the thing I want most,,,
كرسي العرش,the throne,,,الوصول ل*
دوى القنابل,the thud of bombs,,,
حان الآن,the time has come,,,
الوقت المتبقي,the time left,,,
الحصيلة الإجمالية,the total,,,الحصيلة الاجمالية للقتلى
الحصيلة النهائية,the total,,,
أثمرت الشجرة,the tree bore fruit,,,
ذوت الشجرة,the tree withered,,,
حرب طروادة,the Trojan War,,,
الفرقة الأممية,the UN team,,,
الموقّع أدناه,the undersigned,,,
العالم الآخر,the underworld,,,
المفوضية السامية,the UNHCR,,,
الطبقة العليا,the upper class,,,
اليد الطولة,the upper hand,,,أصبح له اليد الطولة على
الشفة العليا,the upper lip,,,
سكان الحضر,the urban population,,,
الجهاز البولي,the urinary system,,,
الاعتدال الربيعي,the vernal equinox,,,
أم النور,the Virgin Mary,,,
الحلقة المفرغة,the viscous cycle,,,
الأصوات المعطاة,the votes cast,,,
حائط المبكى,The Wailing Wall,,,
صهريج الماء,the water tank,,,
الضفّة الغربية‎,the West Bank,,,
حائط البراق,The Western Wall,,,
طيلة الوقت,the whole time,,,
العالم بأجمعه,the whole world,,,
العالم بأسره,the whole world,,,
العالم برمته,the whole world,,,
عصفت الرياح,the wind blew fiercely,,,
الانقلاب الشتوي,the winter solstice,,,
قوة العمل,the workforce,,,
الطبقة الكادحة,the working class,,,
فناء البيت,the yard,,,
دأبهم ودَيدَنهم,their practice and habit,,,وكان دأبهم وديدنهم الحديث عن الزروع
ذوي قرباهم,their relatives,,,
منابع مياههم,their sources of water,,,
كلاهما سيان,there's no difference,,,
لذا ف,therefore,,,
ومن ثمة,therefore,,,
العزل الحراري,Thermal insulation,,,
مقياس الحرارة,thermometer,مقاييس الحرارة,thermometers,
رجعوا سالمين,they returned safely,,,
شعر خفيف,thinning hair,,,
هذا لأجلك,this is for you,,,
الشهر الجاري,this month,,,
الشهر الحالي,this month,,,
العام الجاري,this year,,,
قلبا وقالبا,through and through,,,
رمي تماس,throw in,,,
قذف الحجارة,throwing stones,,,
ربطة عنق,tie,رباط عنق,ties,
قنبلة موقوتة,time bomb,,,
ورق قصدير,tin foil,,,
سند الملكيه,title,,,لعقار
تخلّى عن,to abandon,,,
التزم بقرار,to abide by a resolution,,,
تحقيق العدل,to acheive justice,,,
تناول قضاية,to address the issue of,,,
تبنى منهجا,to adopt a curriculum,,,
اعتذر عن,to apologize for,,,
هلّل لشخص,to applaud for s.o.,,,
حظر حزباً,to ban a party,,,
تعلّق ب,to be about,,,
أدمن على,to be addicted to,,,
تضايق من,to be annoyed by,,,
اختشى من,to be ashamed of,,,
وقف وراء,to be behind,,,
تراوح بين,to be between,,,
اكتفى ب,to be content with,,,
بات مقتنعا,to be convinced,,,
تعرض ل,to be exposed to,,,
اتسم بالتواضع,to be humble,,,يتسم المترجمون بالتواضع أمام المؤلفين الأساسيين
افتقر إلى,to be in need of,,,
شكّل أقلية,to be in the minority,,,
تضيغ هباء,to be in vain,,,عزمت على ألا *
استلهم من,to be inspired by,,,تظاهرات استلهمت من تلك التي حدثت في تونس
اندمج في,to be integrated into,,,
اقتصر على,to be limited to,,,
تلقى أجرا,to be paid,,,
تمتع بشعبية,to be popular,,,
وُضع للتبني,to be put up for adoption,,,
تقاطع مع,to be redudant with,,,ستطامل معها دون أن تتقاط معها
تخلّص من,to be saved from,,,
تخازن في,to be stored in,,,تلك الأفكار تتخازن في ذهني
ترتّب على,to be the result of,,,
تسبّب في,to be to blame for,,,
اتسم بالعنف,to be violent,,,هذه العقوبات تتصم بالعنف
بلغ الفطام,to be weaned,,,
تحمل وطأة,to bear the brunt,,,
حمّله مسؤولية,to blame s.o.,,,حمّله مسؤولية مقتل شخصين
دخل خلسةً,to break in,,,
تنفس الصعداء,to breathe a sigh of relief,,,يتنفس الناس الصعداء
جسر الهوّة,to bridge the gap,,,
ردم الفجوات,to bridge the gap,,,
بنّى سمعة,to build a reputation,,,
نصّب نفسه,to call o.s.,,,الذي نصّب نفسه رئيسا
أدلى بصوته,to cast one’s vote,,,
أمسك حيوانا,to catch an animal,,,
حول المسار,to change course,,,
حوّل شيئا,to change s.th.,,,
رفع شعار,to chant,,,ورفعوا شعار رابعة
رفع شعارا,to chant,,,
تبنّى هجوماً,to claim responsibility for an attack,,,
أدرج ضمن,to classify among,,,أدرح إيران ضمن محور الشر
تشبث بالسلطة,to cling to power,,,
تزامن مع,to coincide with,,,
تولى السلطة,to come to power,,,
علّق على,to comment on,,,
التزم بـ,to commit to,,,الاتفاق
تكامل مع,to complement,,,هذه المنظمة * المنظمات الأخرى
استوعب ب,to comprehend (s.th.),,,
ندّد ب,to condemn,,,
شاور مع,to consult with,,,
ساهم في,to contribute to,,,
اعتنق دينا,to convert to a religion,,,
قطع القارة,to cross the continent,,,
استهجن شيئا,to curse something,,,تستهجن مَرآك ويهالك منظرك
قلص سلطات,to curtail powers,,,
غرّر ب,to deceive,,,
فجر قنبلة,to detonate a bomb,,,
لقي حتفه,to die,,,
لقي مصرعه,to die,,,
ميّز بين,to distinguish between,,,
فعل الصواب,to do the right thing,,,
استغنى عن,to do without,,,
تبرّع ب,to donate,,,
استقوى ب,to draw strength from,,,
أسدل الستار,to draw the curtains,,,
ظهر بوادره,to emerge,,,الاتجاه الى الحكم المحلي ظهرت بوادره خلال الثورة
شدّد على,to emphasize,,,
سَنَّ قانونا,to enact a law,,,
أنهى حرباً,to end a war,,,
وقف القتال,to end the fighting,,,
إشراك شخص,to engage (s.o.),,,إشراك كل شعبها
مارس السلطة,to exercise authority,,,
تحلى بالصبر,to exercise patience,,,
أُغمي عليه,to faint,,,
الإسراع ب,to fasttrack (s.th.),,,هان الوقت لل* تغير سياسي
شعر بالنُعاس,to feel sleepy,,,
حسم مشكلة,to fix a problem,,,
تملق شخصا,to flatter s.o.,,,
دفّق على,to flow into,,,
شكّل حكومة,to form a government,,,
جمد أرصدة,to freeze assets,,,
أيّد بالكامل,to fully support,,,
اكتسب بالخبرة,to gain from experience,,,
كسب الوقت,to gain time,,,
يحظى بفرصة,to get a chance to,,,سيحظى ضيوف الحديقة أيضاً بفرصة استكشاف الحديقة ليلاً
انفصل عن,to get a separation from,,,
خطّى أزمة,to get past a crisis,,,
أنجز أشياء,to get things done,,,
تعايد على,to get used to,,,
ألقى درسا,to give a lesson,,,
أعطى بسخاء,to give generously,,,أريد أن (أعطي بسخاء)
استقبله بحَفاوة,to give s.o. a warm welcome,,,
قام بإضراب,to go on strike,,,
مر بأزمة,to go through a crisis,,,
تجاوز حدوده,to go too far,,,
تذمّر من,to grumble about,,,
رُزق بمولود,to have a baby,,,
تمتع بمهارة,to have a skill,,,
مارس الجنس,to have sex,,,
لدهشته الشديدة,to his great surprise,,,
أصاب الهدف,to hit the mark,,,
فرض عقوبات,to impose sanctions,,,
نفخ في,to inspire,,,
أدخل تعديلا,to introduce an amendment,,,
التحق ب,to join,,,
افتقر إلى,to lack,,,
توكأ على,to lean on,,,يأتي رجلٌ يتوكأ على عصا
ترك منصبه,to leave office,,,
سكن حيا,to live in a neighborhood,,,
بدا مألوفا,to look familiar,,,هل يبدو هذا مألوفا بالنسبة لك؟
أحرز تقدماً,to make progress,,,
أغار شخصا,to make s.o. jealous,,,
لبّى مطالب,to meet the demands of,,,الثورةالمتظاهرين
تطرّق على,to mention (s.th.),,,
أخطأ الهدف,to miss,,,
التزم بالقانون,to obey the law,,,
تغلّب على,to overcome,,,
أشرف على,to oversee s.th.,,,
أطاح ب,to overthrow,,,
فارق الحياة,to pass away,,,
ثابر على,to perservere,,,* عمله سواقا للكارو.
زرع قنبلة,to plant a bomb,,,
تضرع لشخص,to plead s.o.,,,
صقل مهارة,to polish a skill,,,
جمع الأصوات,to pool the votes,,,
تنبّأ ب,to predict,,,
تأهّب ل,to prepare o.s. to,,,
باشر ب,to procede with,,,
روّج لشيء,to promote s.th.,,,
شكّل عبءً,to prove a burden,,,
سعى وراء,to pursue,,,
قمع المعارضة,to quell the opposition,,,
أثار شكوك,to raise the doubts of,,,
تبنى دستورا,to ratify a constitution,,,
أبرم معاهدة,to ratify a treaty,,,
أبرم اتفاقا,to reach an agreement,,,
توصل لاتفاق,to reach an agreement,,,جميع التفاهمات التي تمَّ (التوصل إليها) في المفاوضات السابقة
جنى الثمار,to reap the benefits,,,
استدعى سفيرا,to recall an ambassador,,,
لقي مساعدات,to receive foreign aid,,,
اعترف ب,to recognize,,,
رفض التنحي,to refuse to step down,,,
استخرج الوعي,to regain consciousness,,,
جدّد القول,to reiterate,,,
أعفى من,to relieve s.o. of,,,إعفاء المرأة من واجبات البيت
عوّل على,to rely on,,,
تمادى في,to remain,,,* الذهول.
بقى يقظا,to remain vigilant,,,الأسرة الدولية مطالبة بأن تبقى يقظة وهي تراقب
قدم استقالته,to resign,,,
استكان إلى,to resign o.s. to,,,
حسم قضية,to resolve an issue,,,
تردد مع,to resonate with,,,حقيقة * خطاب الرئيس كينيدي
أسفر عن,to result in,,,
ردّ الوديعة,to return the deposit,,,
سحب ترخيص,to revoke a lisence,,,
ضحّى بشيء,to sacrifice s.th.,,,
أنقذ شخصا,to save s.o.,,,
سجّل هدفاً,to score a goal,,,
أيد ترشيحا,to second a nomination,,,
لتأمين مصالحنا,to secure our interests,,,
استولى على,to seize,,,
توجيه رسالة,to send a message of,,,المحبةالسلام
أقام متاريس,to set up barricades,,,
خاصم العلاقات,to sever relations,,,
ذرف دموعا,to shed tears,,,
إبداء التضامن,to show solidarity,,,مظاهرة ل* مع غزة
احتسى القهوة,to sip coffee,,,احتسيا القهوة وهما يتبادلان كلمات المجاملة
عاشر شخصا,to sleep with (s.o.),,,
انزلق ل,to slide towards,,,
قدح اللهب,to spit fire,,,عيناه (تقدحان اللهب)
بدَد شيئا,to squander s.th.,,,حتى بددت تعاطف قطاعات واسعة من الشعب
ارتطم بـ,to squash,,,* نملة.
وقف منفصلا,to stand apart,,,تقف التجربة الأميركية منفصلة
حدّق إلى,to stare at,,,
حملق في,to stare at,,,وهي تحملق فيه بذهول.
حدّق بشرود,to stare off into the distance,,,
اختلس نظرة,to steal a glance,,,* نجونا بين الحين والحين
ترجل من,to step out of?,,,عندما * سيارته اكتشف
نص على,to stipulate,,,
أبرم صفقة,to strike a deal,,,
اعتقد جازماً,to strongly believe,,,
أدان وبهزم,to strongly condemn,,,
بنية إفشاله,to subvert it,,,يشارك في الحوار بنية إفشاله
إجازا للحديث,to summarize,,,
تلقى ضربة,to take a blow,,,مؤلمةمعلمة
استنشق نفساً,to take a breath,,,
تنفس بعمق,to take a deep breath,,,
ألتقط صورة,to take a picture,,,
احتجز رهائن,to take hostages,,,
أطلق نكت,to tell jokes,,,
أفشى أسرارا,to tell secrets,,,
توعّد ب,to threaten,,,
تفهّم موقف,to understand the position of,,,
استخدم صلاحياته,to use one's powers,,,
تفوّه ب,to utter,,,الكلمات التي * بها
توقّف على,to vary with,,,
خالف الدستور,to violate the constitution,,,
تصفّح موقع,to visit a website,,,
حذّرمن أن,to warn that,,,
ضيّع الفرصة,to waste the opportunity,,,
فاز ب,to win,,,
انتزع لقبا,to win a title,,,
فاز بسباقة,to win the,,,
فاز بالتزكية,to win unopposed,,,
اجتذب أصوات,to win votes,,,
سحب سفير,to withdraw an ambassador,,,
عمل باجتهاد,to work hard,,,
إصبع القدم,toe,,,
دورة مياة,toilet,,,
شاهد القبر,tombstone,,,
معوق اللسان,tongue-tied,,,
التهاب اللوز,tonsilitis,,,
التهاب اللوزتين,tonsilitis,,,
شنطة عدة,tool box,,,
تسوس الأسنان,tooth decay,,,مادة الفلوريد تقلل تسوس الإسنان
ألم أسنان,toothache,,,
معجون أسنان,toothpaste,,,
عود أسنان,toothpick,,,
الإدارة العليا,top management,,,
مسؤول رفيع,top official,,,
جهاز تتبع,tracking device,,,
حركة المرور,traffic,,,
حكومة انتقالية,transitional government,,,
بشكل شفاف,transparently,,,التعبير عما نريده
مصاريف الانتقالات,transportation costs,,,
جهود جبارة,tremendous efforts,,,
طاقة هائلة,tremendous energy,,,
شيوخ العشائر,tribal leaders,,,
لجنة ثلاثية,tripartite committee,,,
سفساف الأمور,trivial matters,,,
الحرارة الاستوائية,tropical heat,,,
رسوم التعليم,tuition,,,
لحظة فارقة,turning point,,,
حمى مِعوي,typhoid fever,,,
حَبل سُرَّي,umbilical cord,,,
بلا هوادة,unabated,,,
العم سام,Uncle Sam,,,
بدون شروط,unconditional,,,
مُغمى عليه,unconscious,,,
بلا منزع,uncontested,,,حكم مصر * ل30 عاما
تحت الإنشاء,under construction,,,
تحت المجهر,under scrutiny,,,
في كَنَف,under the protection of,,,
تحت وطأة,under the weight of,,,ترزح تحت وطأة شعور تخفيه
زواج القاصرات,underage marriage,,,
تقويض جهودهم,undermining their efforts,,,
شباب الضواحي,underprivileged youth,,,
بشكل متفاوت,Unevenly,,,
لسوء الحظ,unfortunately,,,
إضراب نِقابي,union strike,,,
إجراءات عقيمة,unproductive measures,,,بعض الإجراءات التي وصفها بالعقيمة
في الأعلى,up there,,,إذا كان هناك رب في الأعلى
في الأعلى,upstairs,,,إنهم *
الحضر والبدو,urban and bedouin,,,
النتمية العمرانية,urban development,,,
التخطيط العمراني,urban planning,,,
تسمم بولي,uremia,,,
قسطرة البول,urinary catheter,,,
بلا فائدة,useless,,,الذهاب إلى جنيف ٢ سيكون
اسم المستعمل,username,,,
فوضى شاملة,utter chaos,,,
فوضى عارمة,utter chaos,,,
ارتباك تام,utter confusion,,,
تعليمات غامضة,vague instructions,,,
تعليمات مبهمة,vague instructions,,,
مترامية الأطراف,vast,,,حدود ليبيا البرية والبحرية
لحم العِجل,veal,,,
أجهزة التهوية,ventilators,,,
اتصال شفهي,verbal communication,,,
باقتضاب شديد,very briefly,,,
عن كثب,very closely,,,سوف نتشاور * مع أصدقائنا الإسرائيليين
مُفعَم بحياة,very much alive,,,
بسرعة رهيبة,very quickly,,,
مخول ب,vested with,,,جميع السلطات
مفوض ب,vested with,,,جميع السلطات
الطب البيطري,veterinary medicine,,,
نائب قنصل,vice-consul,,,
مجني عليه,victim,,,
كلام بذيء,vile language,,,
مؤثرات بصرية,visual effects,,,
أوتار صوتية,vocal chords,,,
نسبة المشاركة,voter turnout,,,
حرف ليّن,vowel,,,
انسحاب احتجاجا,walkout,,,
لوحات جدارية,wall paintings,,,
مطلوب للعدالة,WANTED,,,
الحرب تنشب,war breaks out,,,
جرائم حرب,war crimes,,,
درء المفاسد,warding off evil,,,
مذكرة توقيف,warrant,,,
جرى بحضور,was attended by,,,الجلسة جرت في حضور الرئيس
أقام بشرفها,was held in her honor,,,
واشنطن العاصمة,"Washington, DC",,,
تحلل النفايات,waste breakdown,,,
تصريف النفايات,waste disposal,,,
حرق النفايات,waste incineration,,,
إدارة نفايات,waste management,,,
تضييع فرصة,wasting an opportunity,,,طلبت بعدم تضييع هذة الفرصة
وفرة المياه,water availability,,,
خراطيم المياه,water cannons,,,
ندرة المياة,water scarcity,,,
فنطاس مياه,water tank,,,
نجري مناقشات,we are having discussions,,,
نسعى لتحقيق,we are working towards,,,
حالفنا الحظ,we got lucky,,,
نقدم بالتعازي,we offer our condolences,,,
لا يجوز,we should not,,,القفز إلى استنتاجات سريعة
لشدة فرحنا,we were so glad that we,,,
نعيش مأزق,we're in a predicament,,,
يداهمنا الوقت,we're short on time,,,وقت النقاش
أسلحة بيضاء,weapons that are not firearms,,,
نشرة جوية,weather forecast,,,
حفلة زفاف,wedding,,,
ليلة الدُخلة,wedding night,,,
عشاب ضار,weed,أعشاب ضارة,weeds,
مكنة لحام,welding machine,,,
رياح غربية,westerlies,,,
الأراضي الرطبة,wetlands,,,
يا للأسف,what a pity,,,
يا للحَسرة,what a pity,,,
الحديث طويل.,What else is there to say?,,,
ما دهاك؟,what happened to you?,,,في الليل
كيف تصرّف,what to do,,,
ما لك؟,What's wrong?,,,
طوعا وكرها,whether they like it or not,,,
شِرس اللبن,whey,,,
قشطة مخفوقة,whipped cream,,,
القوة للبيض,white power,,,
سُعال ديكي,whooping cough,,,
واسع النطاق,widespread,,,
شعر مستعار,wig,,,
حيوانات برية,wild animals,,,
خيال واسع,wild imagination,,,
الحياة البرية,wildlife,,,
سوف يرسمه,will be shaped by,,,
أزهار ذابلة,wilted flowers,,,
عاصفة رياحية,wind storm,,,
حل الشتاء,winter came,,,متاعبه بدأت عندما *
لا سلكي,wireless,,,
من صميمي,with all my heart,,,
باسط الجناحين,with arms outspread,,,
بعون الله,with God's help,,,* سننتصر.
بجهد جهيد,with great effort,,,
مطأطئ الرأس,with his head bowed,,,دخل *
وقلبه واجف,with his heart pounding,,,خرج من الامتحان * مفعم بالشكوك
بأم عيني,with my own eyes,,,لو لم أكن قد رأيته *
فيما يخص,with respect to,,,
بالعين المجردة,with the naked eye,,,
بدون شك,without a doubt,,,
بلا تسويف,without delay,,,قرر أن يواجه التحدي *.
حقوق المرأة,women's rights,,,
نقّار الخشب,woodpecker,,,
تحفة فنية,work of art,,,
تراكم الأعمال,work piling up,,,
سكان عاملون,working population,,,
البنك الدولي,World Bank,,,
كأس العالم,World Cup,,,
استنكار عالمي,world denunciation,,,
رقم قياسي,world record,,,
نقد هدّام,worthless criticism,,,
على خطأ,wrong,,,
اشعّة إكس,x-ray,,,
الأشعة السينية,X-Ray,,,
أصوات موافقة,yays (votes for),,,
التهاب فطريات,yeast infection,,,
الحمى الصفراء,yellow fever,,,
مائل للاصفرار,yellowish,,,مادة شمعية (مائلة للاصفرار)
يوم أمس,yesterday,,,
يوم الغفران,Yom Kippur,,,
الحق عليك,you are mistaken,,,
الحق معك,you are right,,,
عشنا وشفنا,You have to see it to believe it,,,
أنت وغد,you're an asshole,,,
القادة الشباب,young leaders,,,
الشبان والشبات,young men and women,,,
جاءت سيرتك,your name came up,,,
حمار وحشي,zebra,,,
ذو الحجة,Zilhijjah,,,
ذو القِعدة,Zulqida,,,
