Arabic,English,Arabic Pl,English Pl,Example
نجدد الدعوى إلى,we reiterate the call to,,,
لن نألو جهدا,we shall spare no effort,,,
يجب أن نضع بالاعتبار أن,we should bear in mind that,,,
تبادلنا نظرات باسمة,we traded smiles,,,
نريد إعطاء الألوية لهم,we want to give them priority,,,
ذهبنا إلى هناك أملا من أن,we went there in hopes that,,,
كنا نرتعش بردا,we were shivering it was so cold,,,
سوف يجري تذكيرنا ل,we will be remembered for,,,
سوف نتحلى باليقظة والحذر,we will be vigilant,,,
دائما ما س,we will never stop,,,
لن نتخلى عن شبر أرض,we won’t retreat an inch,,,
نحن أمام حالة,we're going through a period of,,,من الخراب الاقتصادي
لم يعُد لدينا وقت,we're out of time,,,
شهدنا مدى صعوبة هذا التحول,we've seen just how hard this transition will be,,,
لقد قطعنا أشواطا,we’ve come a long way,,,
أسلحة الدمار الشامل,weapons of mass destruction,,,
الديمقراطية بمفهومها الغربي,Western-style democracy,,,
يا لها من حياة,What a life!,,,
ما الذي تمثل هذه الأغنية لك؟,What does this song mean to you?,,,
كما تدين تدان,what goes around comes around,,,
ما تمّ إنجازه,what has been achieved,,,في الأشهر الماضية
ماذا وقع للدنيا؟,What has the world come to?,,,
ما هي قراءتك ل,what is your assesment of,,,
ما هو تقييمك ل,what is your assessment of,,,
ما هي فصيلة القرش؟,what kind of shark is it?,,,
وما يجعلنا دولة عظيمة هو أننا,what makes us great is that we,,,
ما تبقى من,what remains of,,,ما تبقى من البنية التحتية
ماذا تفعل هنا بحق الجحيم,what the hell are you doing here,,,
ما يمكن أن نكون عليه,what we can be,,,نرفض وضع قيود على
ما كنا نتوقع هو,what we had expected was,,,
ماذا كان يكون لولاهم؟,What would it be without them?,,,ماذا كانت تكون حارتنا لولاهم؟
كيف تغير اليوم عن الأمس؟,What's different now?,,,
والأكثر من ذلك,what's more,,,
ما الضرر في ذلك؟,what's the harm in that?,,,
ما هو خطبه,what's wrong with him,,,
ما دليلك على ذلك؟,What's your proof of that?,,,
مهما كلّف الأمر,whatever it takes,,,
كيفما كان الجواب,whatever the answer,,,
حتى يلِج الجمل في سم الخياط,when hell freezes over,,,
بعد فوات الأوان,when it's too late,,,
شئتم أم أبيتم,whether you like it or not,,,
مما يفاقم المشكلة,which exacerbates the problem,,,
والذي يوافق اليوم,which falls today,,,عيد ميلاده
أمر يؤثّر سلباً على فرصهم في,which hurts their chances of,,,
الذي أبيع به عمري كله,which I would give my life for,,,النشوة النادرة (التي أبيع بها عمري كله)
والأمر يدلّ على,which indicates that,,,
التي أدت لإسقاط حكمه,which lead to his ouster,,,الإنتفاضة الشعبية *
والذي يفتح الباب على مصراعيه ل,which leaves the door wide open for,,,
التي خلّفت 12 قتيلا,which left 12 people dead,,,الهجومات *
الذي تعتزم المجالة إصداره,which the magazine intends to publish,,,غلاف العدد الأول * بعد الهجومات
مما سيؤدي حتما إلى,which will inevitably lead to,,,
منظمة الصحّة العالمية,WHO,,,
لحساب مَن تعمل؟,Who are you working for?,,,
الذي يحظى بشعبية كبيرة,who enjoys great popularity,,,وسجن أنور، *
الجهة المسؤولة عن,who was responsible for,,,
الذي يعُدّ أول من تعلّم,who was the first person to learn,,,
سوف تقاس بمكياس,will be measured by,,,
سيكون له آثار عكسية,will have the opposite effect,,,
على الأرجح سيكون,will most likely be,,,
لن يعود كما كان,will never be the same,,,
لن يكون نفسه أبدا,will never be the same,,,
لن يتأتى دون,will not come about without,,,بناء شرق أوسط جديد
سيحوذ على أعجاب الجماهير,will will audience approval,,,من المؤكد أن هذا الفيلم *
له توجّهات إنسانية,with a humanitarian agenda,,,
التي بلغ عدد سكانها حوالي,with a population of around,,,
مع كامل احترامي ل,with all due respect for,,,
مع مرتبة الشريف,with honors,,,حصل على البكالوريوس: تقدير امتياز مع مرتبة الشرف
مع أخلص التهاني,with most sincere congratulations,,,
بلا قيد أو شرط,with no strings attached,,,
مع أصدقائنا الإسرائيليين,with our Israeli friends,,,
وتقبلوا منا فائق الشكر والتقدير..,"With our utmost thanks and appreciation,",,,
من حيث أنّ,with respect to,,,
مع تفاقم الأزمة,with the growing crisis,,,
على جناح السرعة,with the utmost speed.,,,
في غضون ساعة,within an hour,,,
دون علمه أو استئذانه,without his knowledge or consent,,,
بدون ذكر أسماء,without naming names,,,
دون أن ينبس ببنت شفة,without saying a word,,,
دون رقيب أو حسيب,without supervision or control,,,
إكليل من الزهور,wreath,,,وضع * على ضريحه
منظمة التجارة العالمية,WTO,,,
هو كذلك فعلا,yes it is,,,
ليس لك حق الأسبقية,yield,,,
لطالما كنت كذلك,you always did,,,ليك قلبي *.
من الأفضل أن تتولى أنت الحديث,you better do the talking,,,
أنت جدير به,you deserve it,,,
لا تعرف أي هدية جميلة قدمتها إلي,You don't know how beautiful a gift you've given me,,,
أنت صاحب تجربية شخصية في هذا المجال,you have experience here,,,
عليك أن تقدم أفضل ما لديك,you have to do your best,,,
أنت تعرف مقدار حبي لعائلتي,you know how much I love my family,,,
لعلكم تتفقون معي في الرأي أن,you may agree that,,,
قد تتعرض للأذى,you might get hurt,,,
يلزم عليك أن,you must,,,
ينبغي لك أن,you should,,,
سترجع إلى سماعها,you will hear them again,,,كم أتوق إلى سماع الأناشيد
إما أن تكون معنا أو ضدّنا,you're either with us or against us,,,
أنت صاحب الأمر,you're the expert,,,
فنانون من جيل الشباب,young artists,,,
جهودك التي لا تُكلّ,your tireless effort,,,أشكرك ل
مركبات لا ينبعث منها عوادم,zero emission vehicles,,,
لعبة صفرية التنائج,zero-sum game,,,
